i2_median,i2_mean,cesnet_median,cesnet_mean,mannwhitney_p,wins,ties,losses,algo,mu,fed_mae
9.1621375337896,21.645793612351262,2.0200914293997534,1.2995626069830422,0.00021981937631328227,15,4,1,FedAvg,0.0,0.25043314568698405
9.537173906765755,22.259434789261654,1.982430034552376,1.3508247572880223,0.00012306406395261486,15,4,1,FedProx(mu=0.001),0.001,0.2496828220039606
8.253245686026602,21.155316795723763,1.9809850656327521,1.592642417371803,0.00038426945658138323,15,4,1,FedProx(mu=0.01),0.01,0.2507451890036464
1.2429294476885553,14.729812104340445,1.1386345651613468,1.2315548289284044,0.26026144163788634,8,10,2,FedProx(mu=0.1),0.1,0.2604175200685859
-30.5456196250137,-27.177631593389627,-17.158689238709798,-18.17290211166266,0.9774227151878605,2,0,18,FedProx(mu=1.0),1.0,0.3411503367871046
